,,0,1,2,3,4,5
CREDIT_LIMIT,mean,10275.844594594595,3799.6322058551555,4598.994013454175,8769.602272727754,2459.2284866468844,3157.031613203277
CREDIT_LIMIT,std,4802.7921924193115,3151.5338056753644,3395.9912641673177,3534.0885193294844,2168.0953490369575,2283.8587275081013
CREDIT_LIMIT,min,1200.0,300.0,300.0,50.0,300.0,150.0
CREDIT_LIMIT,25%,6875.0,1500.0,1900.0,6500.0,1200.0,1500.0
CREDIT_LIMIT,50%,9500.0,3000.0,4000.0,8000.0,1500.0,2500.0
CREDIT_LIMIT,75%,13000.0,5000.0,6500.0,10500.0,3000.0,4000.0
CREDIT_LIMIT,max,30000.0,23000.0,25000.0,30000.0,20000.0,14000.0
PAYMENTS,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
PAYMENTS,mean,8676.837601493244,1093.46824602455,1539.5592264154786,4109.077191307203,591.9320675311573,974.0595487475592
PAYMENTS,std,7835.430470730762,2060.6062588062427,1433.1485804393394,4543.269950651017,853.9078272261967,1016.7435120462001
PAYMENTS,min,92.865469,0.0,0.0,0.0,0.0,0.0
PAYMENTS,25%,3834.3358665,174.76397425,544.787561,1446.0573359999999,147.27179975,359.66694675
PAYMENTS,50%,6419.2905654999995,421.80915749999997,1097.7749145,2335.812328,303.19437100000005,631.119987
PAYMENTS,75%,10426.070115,1099.64945425,2038.0939305,5201.90647,635.6739137500001,1165.90293
PAYMENTS,max,50721.48336,23150.57184,12020.18009,39048.59762,6684.559773,8328.730628
PRC_FULL_PAYMENT,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
PRC_FULL_PAYMENT,mean,0.27457244594594593,0.23289592880523735,0.275241344874406,0.033443103813559326,0.16494276706231453,0.019620334030683407
PRC_FULL_PAYMENT,std,0.38155360778107755,0.34313568761092184,0.3568499782508391,0.09965594258751015,0.3098084234325272,0.05646771204557844
PRC_FULL_PAYMENT,min,0.0,0.0,0.0,0.0,0.0,0.0
PRC_FULL_PAYMENT,25%,0.0,0.0,0.0,0.0,0.0,0.0
PRC_FULL_PAYMENT,50%,0.0,0.0,0.083333,0.0,0.0,0.0
PRC_FULL_PAYMENT,75%,0.583333,0.363636,0.545455,0.0,0.2,0.0
PRC_FULL_PAYMENT,max,1.0,1.0,1.0,1.0,1.0,0.666667
TENURE,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
TENURE,mean,11.95608108108108,11.797872340425531,11.911405295315681,11.665254237288135,7.329376854599406,11.883193863319386
TENURE,std,0.38808112926951044,0.6469701754579651,0.39602300617321423,0.9867737951433461,1.0867829061546073,0.401371012896696
TENURE,min,6.0,8.0,8.0,6.0,6.0,10.0
TENURE,25%,12.0,12.0,12.0,12.0,6.0,12.0
TENURE,50%,12.0,12.0,12.0,12.0,7.0,12.0
TENURE,75%,12.0,12.0,12.0,12.0,8.0,12.0
TENURE,max,12.0,12.0,12.0,12.0,10.0,12.0
